,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_sqr,AcidoCitrico_exp,Azucar_sqr,CloruroSodico_sqr,Densidad_raiz4,pH_sqrt,Sulfatos_log,Alcohol_sqrt,CalifProductor_sqrt,PrecioBotella_sqr,aleatorio_sqrt,aleatorio2_sqr,Beneficio
10,0.24,0.24,-18.2,-0.182,1.00916,3.19,-1.01,9.8,2,3.06,M,*,3.0,0.0,0.2460306425053147,0.7921985532114726,8.922166332698326,19.172633809843806,5.600674688157552,5.545058945138707,1.388582197778361,1.7479950742918102,0.344912336061634,1.66243717213176,1.3645593560288818,1.9583278165780298,0.9225917862592831,7.534340590397039,364
11,0.35,0.67,4.2,0.333,0.98345,3.19,1.7,6.2,3,2.52,B,Desc,2.0,0.0,0.8088682500710028,0.6475037156150514,9.799874213475514,31.799232196596794,9.196159508399761,15.930665012313389,1.2825254031047282,1.7479950742918102,1.4661193529411358,1.3223079536487052,1.6712221139600012,1.066252784494117,1.6731722130305056,5.0320519738289615,552
12,0.17,0.34,15.6,0.044,0.99752,3.06,3.38,9.1,2,1.05,R,**,2.0,0.0,0.7701978042929237,0.07214702786710214,8.38506080930294,21.566660754236345,11.36656871451316,9.443088907000726,1.3436587261810873,1.691100711522915,1.8152968220271546,1.601966772589038,1.3645593560288818,0.0011603327212733436,1.632679663744738,0.06174367975470351,776
13,-2.05,0.27,13.2,0.036,0.99408,1.95,0.02,13.0,2,2.1,B,****,2.0,0.0,0.3574554443033523,0.43833758880806784,1e-08,19.861503278456823,10.890549347068609,9.28749473497307,1.329478699110035,1.0904779437537602,0.9250049511973645,1.9147053262575566,1.3645593560288818,0.5584579651989102,1.1121537093744474,2.304482410248435,814
14,1.17,-0.09,1.5,0.027,0.99,3.3,0.33,12.5,3,1.56,R,**,3.0,0.0,0.06968274539171915,0.9716012608494712,17.640167128549358,13.003134370846709,8.715763310330795,9.113996276541446,1.312049796070907,1.794728283105314,1.049409023168663,1.8775240668331135,1.6712221139600012,0.14477489052371956,0.4906386457068286,11.33573297065204,885
15,1.65,-2.27,9.2,-0.002,0.9893,3.04,-1.03,9.7,3,3.2,R,*,3.0,6.666666666666667,0.8306425875075713,0.45484398657081615,23.29119209763104,1.0001000050001667,10.119810239580659,8.566073620154826,1.3089887354672234,1.6821769477994597,0.3295285153338641,1.653933909898803,1.6712221139600012,2.2335329506149373,1.6955470285482461,2.481504747004205,604
16,0.34,0.46,4.7,0.029,1.00111,1.42,1.74,17.3,2,3.91,B,**,2.0,0.0,0.061868303349856046,0.3163429179373427,9.71838132959468,24.837293088954297,9.2865359238589,9.152410118340677,1.357993426728306,0.6256439294600746,1.4760201965154685,2.2087768842071793,1.3645593560288818,3.907678269933885,0.46225064146083034,1.1992463489970855,828
17,0.14,-1.03,7.9,-0.379,1.0241,3.26,-0.38,13.7,2,2.37,B,**,2.0,0.0,0.6330245324138823,0.3000116288740423,8.159976502914683,4.302267740204514,9.87540974132271,2.988690259011478,1.4405165419409687,1.7778765268058807,0.7375501707346365,1.9655778532546502,1.3645593560288818,0.866210306052408,1.4801355372041936,1.0784429531992201,806
18,1.75,0.36,52.3,0.075,1.02917,3.34,1.85,13.5,4,1.64,MM,*,3.0,0.0,0.2612136998622855,0.2054461974103351,24.567161950816573,22.080206604480747,19.91399335540455,10.058224735276408,1.456927857306609,1.8114232735031741,1.5027526558346782,1.951178195670646,1.9297524380738358,0.1890813105058456,0.9506490266298281,0.5049895274041902,199
19,0.36,0.5,-38.8,-0.291,1.00091,3.87,0.45,8.8,2,3.81,R,*,2.0,0.0,0.9340501106252088,0.25807111700903584,9.881707349027474,26.034228598488962,3.0770251793894823,4.03376199075161,1.357206708675368,2.0196450418655605,1.093695186496649,1.5753404779800582,1.3645593560288818,3.6437370227834434,1.7980092399159415,0.7975826755534386,531
20,0.19,0.26,54.0,0.039,0.98998,3.32,-0.29,12.1,1,2.9,R,**,1.0,6.666666666666667,0.7518749371545276,0.9577753803962968,8.536818271917417,19.629173032280775,20.367620694707526,9.34569108035604,1.3119626341028041,1.803095100926058,0.7828958702390423,1.8472403010026475,0.9649150833430776,1.665955439198951,1.6131385835723964,11.015257841276526,433
21,0.36,0.26,13.2,0.051,0.9976,3.0,1.62,10.8,2,1.28,B,*,1.0,0.0,0.3754346548782861,0.658651468241962,9.881707349027474,19.629173032280775,10.890549347068609,9.58029409141673,1.3439831931254627,1.6641858724604952,1.4460186422889303,1.745192562730098,1.3645593560288818,0.03621274977879284,1.1397907964191838,5.206941752049999,583
22,0.28,0.64,-47.1,0.512,0.9972,3.98,-1.06,9.2,3,1.0,B,**,2.0,0.0,0.3773427763457745,0.4935099194834449,9.236569311403342,30.696318692092238,2.2722235238210895,20.79484627547526,1.3423585021410047,2.0602254550320116,0.30599973045262013,1.6107443973056803,1.6712221139600012,1e-08,1.1426846678437428,2.9218181081705326,604
23,0.28,0.35,2.1,1.027,0.95511,3.26,2.14,9.2,2,1.32,M,Desc,3.0,0.0,0.918138270758709,0.5856852555293679,9.236569311403342,21.821923041342732,8.821404372723775,38.39866311923203,1.122896125409079,1.7778765268058807,1.5699839391967505,1.6107443973056803,1.3645593560288818,0.04729207186687624,1.782626290421317,4.116440094938621,511
24,0.44,0.22,4.3,-0.923,1.02618,3.26,0.53,11.3,2,1.31,M,*,1.0,6.666666666666667,0.003839772884922099,0.8857957814503028,10.548621493603738,18.726712867722608,9.214199437577651,1e-08,1.4473170153586186,1.7778765268058807,1.122165920292877,1.7851321928277326,1.3645593560288818,0.04438381774606812,0.113150172813206,9.421053897716584,591
25,0.23,0.42,-3.8,0.094,0.99699,3.49,0.9,16.6,2,1.0,M,*,1.0,6.666666666666667,0.5137783334760045,0.7033009609382397,8.84441621719989,23.695387234266697,7.810238514746335,10.444836513471088,1.3415031724234174,1.8727044005473688,1.2442245444955051,2.163630170200506,1.3645593560288818,1e-08,1.3334227530155158,5.937363600861975,285
26,0.19,0.41,-36.7,0.046,0.9954,3.14,1.65,9.8,2,3.32,M,*,1.0,0.0,0.965105306318787,0.30837897683083537,8.536818271917417,23.41821007037371,3.299952931663335,9.482189408844174,1.33497338709807,1.726334541082615,1.4536038357138956,1.66243717213176,1.3645593560288818,2.483819119777589,1.8276592949762633,1.1395356950949391,436
27,-0.06,-1.57,-41.4,0.095,0.99977,2.51,0.49,16.7,3,5.42,R,***,3.0,6.666666666666667,0.7560849071751807,0.3231094258488346,6.737672344685519,2.2790367864100087,2.8118200115676792,10.465386460633658,1.3526960786141489,1.4254849926830937,1.1080318728082041,2.1701372045044,1.6712221139600012,9.014929805277795,1.6176493452608547,1.2511771580703972,623
28,0.54,0.03,48.9,0.094,0.9982,4.0,0.8,9.2,5,1.13,M,*,1.0,0.0,0.870222882984449,0.5969051211555885,11.412886824725508,14.975088778189058,19.022064598490253,10.444836513471088,1.3464092372577194,2.0675181397915865,1.2126771103636147,1.6107443973056803,2.1575230219663686,0.007815533833268537,1.7354802360011243,4.275797137246491,334
29,0.24,0.06,1.8,0.88,0.97646,4.22,-1.11,12.2,2,3.1,MM,*,3.0,0.0,0.8353147549130399,0.7052777535118483,8.922166332698326,15.513141168454158,8.768504295220927,32.82762606976119,1.248589596323972,2.146102728022752,0.2655114120139886,1.8548575963185563,1.3645593560288818,2.035112206890459,1.7003096753010194,5.970809860309627,186
30,0.24,0.84,6.4,0.048,0.9944,2.46,0.55,10.5,2,2.17,B,****,3.0,0.0,0.6479976364382596,0.2567669286021833,8.922166332698326,38.840834652261144,9.597121327373069,9.521370694222238,1.3308170032660043,1.3988393876178966,1.129158728903081,1.72078388012311,1.3645593560288818,0.6317858411804862,1.49754211883972,0.7895269121974473,1155
31,0.17,0.3,56.0,0.034,0.99152,3.55,0.49,5.7,2,1.49,M,***,2.0,0.0,0.6055590755138419,0.045874762662327484,8.38506080930294,20.57512370979586,20.907840391495238,9.24879815080269,1.318623870852697,1.8966625346238295,1.1080318728082041,1.2678716257654497,1.3645593560288818,0.1108515989969128,1.4476623386319558,0.02477405575843276,361
32,0.24,-1.0,43.6,0.043,1.03256,4.02,0.07,10.1,2,1.35,B,***,2.0,0.0,0.8814526546646776,0.18872341511619672,8.922166332698326,4.456847487641403,17.672459289944058,9.423568949904483,1.467599263546428,2.074785191573495,0.9461465582112987,1.6876899212243768,1.3645593560288818,0.0565705286244495,1.7466438808276767,0.4259505484186757,893
33,2.73,0.33,-16.8,0.191,0.99082,4.14,0.58,16.9,2,1.32,R,***,3.0,6.666666666666667,0.10494509182280143,0.17181602004464613,38.87227835563933,21.31438440173779,5.799407362679048,12.532213422530914,1.3156085753243882,2.117863921031067,1.1395571016703416,2.183093088331043,1.3645593560288818,0.04729207186687624,0.6023214320264446,0.352873475177516,517
34,-0.46,-0.09,3.3,0.096,1.00573,3.6,1.18,18.2,4,2.65,R,*,2.0,0.0,0.8738305960775458,0.17695311059899876,4.30136603357969,13.003134370846709,9.034595608862325,10.485956603679883,1.3757976200708972,1.9163988630395286,1.3276038481176584,2.2655010662011787,1.9297524380738358,1.256418329129784,1.7390745181346894,0.37435020583188167,356
35,1.45,-1.04,1.6,0.045,0.99534,4.19,-1.09,6.9,5,2.0,R,Desc,1.0,0.0,0.5293467893455753,0.35269246481061645,20.84132789259809,4.251941895821869,8.733325961670536,9.462629059980623,1.3347250970579152,2.135556934389386,0.2819039749373562,1.3949545279645246,2.1575230219663686,0.46154786058507874,1.35348007337892,1.4911429229622595,363
36,-0.88,0.26,6.8,0.298,0.96461,3.02,0.32,5.6,1,1.39,R,Desc,1.0,6.666666666666667,0.48116119660035905,0.7307317851860099,2.3291577845994014,19.629173032280775,9.670942678039667,15.055201701563933,1.183799944221755,1.6732055913433064,1.0456284329592842,1.256701430909038,0.9649150833430776,0.07023375788989472,1.2903906852114604,6.409870839138756,513
37,0.19,-0.65,12.8,0.053,0.99778,4.02,1.89,2.7,3,3.66,MB,***,2.0,0.0,0.11648860384503557,0.36826571087047066,8.536818271917417,6.727934051772959,10.812202695418083,9.619677335631328,1.344712385755851,2.074785191573495,1.5122990563008447,0.8726392555071721,1.6712221139600012,3.2651281019061864,0.6346261529857874,1.6259195683098941,837
38,0.845,0.01,-25.6,0.172,1.00888,3.32,0.5,11.0,4,1.46,B,*,1.0,0.0,0.9698470671111561,0.07351736062859071,14.259044023026764,14.626795175831194,4.607786723290386,12.10838063076291,1.3875517371009058,1.803095100926058,1.1115841573174539,1.7612771011266364,1.9297524380738358,0.09769728147329666,1.832144282048589,0.06412728125622584,338
39,0.18,0.31,32.1,0.216,0.96244,3.84,-0.21,10.8,3,1.95,M,***,2.0,0.0,0.8176898658380067,0.07597034619887488,8.460769414774614,20.81865019706756,14.914829817225217,13.100995884550843,1.1707099502072256,2.0084353601557696,0.8215462916653848,1.745192562730098,1.6712221139600012,0.41655339824784415,1.6822729659056657,0.06850681295455321,457
40,-0.83,-0.43,2.4,-0.137,0.992,3.25,0.17,10.4,1,2.09,M,Desc,1.0,0.0,0.23534478039711015,0.8127642255681599,2.532471201327324,8.715738879926072,8.874463542839337,6.238967617295359,1.3206796084552703,1.773638570330675,0.9871343435698563,1.7125703457432762,0.9649150833430776,0.5483516839411652,0.902322123847063,7.930845990663973,410
41,0.43,0.35,21.3,0.489,0.95018,3.37,0.5,14.7,2,1.98,B,*,1.0,0.0,0.9197304553803924,0.5860530089590492,10.464066344682761,21.821923041342732,12.537921967355667,20.133608329180156,1.0869336001981238,1.8238442299157733,1.1115841573174539,2.0360491219339876,1.3645593560288818,0.4432732284526105,1.7841715244536374,4.1216153692201445,585
42,0.24,0.31,13.1,0.05,0.94955,3.05,0.53,10.4,3,2.02,M,Desc,3.0,0.0,0.16436258665432135,0.38678792790824545,8.922166332698326,20.81865019706756,10.870936168720526,9.560632763134914,1.082072317762895,1.6866447314448316,1.122165920292877,1.7125703457432762,1.6712221139600012,0.4801916223143132,0.7539707338943613,1.7938085128581718,407
43,0.785,0.77,-5.5,-0.541,0.98981,3.85,-0.65,11.1,0,1.13,M,***,2.0,0.0,0.5988498567965199,0.4101096081752733,13.67413574848392,35.769903072841295,7.530304954615481,1.4737748513814672,1.311221055016116,2.012178859427446,0.5876935567966651,1.769264536445963,0.01,0.007815533833268537,1.4396185203727723,2.0169305162657016,595
44,0.15,1.42,38.4,0.038,1.00899,4.72,0.43,12.6,3,4.02,R,**,3.0,0.0,0.8775455166837859,0.40242485431515695,8.234664353372976,76.85552692430467,16.396576325026405,9.326272102678063,1.3879568346856983,2.3148034990818935,1.0864490215950546,1.8850189904905081,1.6712221139600012,4.208672258905986,1.7427678621436504,1.9419649516320214,714
45,-0.5,0.42,37.1,0.028,0.97409,4.34,2.36,11.3,2,2.03,M,**,2.0,6.666666666666667,0.27013966498474606,0.6432807979203539,4.087677549528291,23.695387234266697,16.085074098116174,9.133193099499236,1.2364293170809888,2.1877776203396717,1.618132305087974,1.7851321928277326,1.3645593560288818,0.4896519267777173,0.9667636044855544,4.966581584858048,472
46,-0.42,1.75,3.85,0.546,0.95709,2.05,1.91,11.8,3,4.09,M,Desc,2.0,0.0,0.8744613106579194,0.877872983504393,4.520498544369123,113.32059117115271,9.13315896231327,21.791898268215178,1.136414256256641,1.1574341492458415,1.5170382974554324,1.8241975799598713,1.6712221139600012,4.406027679400936,1.7397021220686004,9.253188957383557,163
47,1.4,1.64,15.8,0.057,1.02858,2.02,1.72,9.2,2,1.8,M,***,2.0,0.0,0.8285798401621615,0.8827244102503073,20.250127570785292,99.56291173437498,11.406696596014719,9.698686174664363,1.4550464452933416,1.1377610955874438,1.4710820280161898,1.6107443973056803,1.3645593560288818,0.2954123711148653,1.6934400726148513,9.355799863017813,264
48,0.72,0.51,6.3,-0.083,0.95501,3.71,1.03,11.4,3,2.75,R,**,1.0,0.0,0.7627307381424747,0.5300364507427991,13.054307841868711,26.34236887160916,9.578710182098842,7.125641620889036,1.1222003170369286,1.9591190450528817,1.283802412526093,1.793013362705992,1.6712221139600012,1.4133119932180886,1.6247445160525815,3.370781477854503,951
49,1.04,0.19,43.3,0.05,1.01533,3.09,2.89,11.5,3,1.14,M,Desc,1.0,0.0,0.9708817393356186,0.8195118058081321,16.244590987024964,18.07720207484877,17.59755140101547,9.560632763134914,1.4107284076459026,1.704398754904912,1.7254120339852073,1.8008600422616272,1.6712221139600012,0.009062704768629666,1.8331214667378146,8.063154323905628,397
50,0.19,1.1,11.2,0.061,0.97994,2.99,-0.38,9.3,3,1.56,R,**,2.0,0.0,0.5147911211790123,0.11134715394275985,8.536818271917417,52.74138015267901,10.501644401930939,9.778018147835855,1.2658258324394942,1.6596576308667998,0.7375501707346365,1.6194744475983374,1.6712221139600012,0.14477489052371956,1.3347367245807036,0.14775426811815204,532
51,0.22,1.87,59.8,0.231,1.03646,4.23,0.42,8.7,2,1.0,B,**,3.0,6.666666666666667,0.036994227488097775,0.02548139072837663,8.76700635337258,130.5059122506305,21.95373782197115,13.44832412685884,1.4795949700853286,2.1496064955310774,1.0828061534597992,1.5663644686311475,1.3645593560288818,1e-08,0.3571709239594868,0.0075159676261929214,747
52,-0.73,1.41,4.0,0.595,0.99787,3.47,1.59,7.4,5,1.0,B,**,1.0,13.333333333333334,0.1411829927761441,0.00787795474523778,2.9646169101177,75.95650819244048,9.160132680914884,23.26989446951435,1.3450765376688714,1.8646499508015109,1.438375473671531,1.4446099819502258,2.1575230219663686,1e-08,0.6987366691932865,0.0006586514222615274,923
53,0.29,0.38,1.2,-0.65,1.03069,3.28,0.36,18.2,1,1.3,M,**,2.0,0.0,0.3275789502561832,0.2803629392627718,9.316020685257413,22.605981020997355,8.663181418053378,0.7527630202378002,1.461741594382662,1.7863222770185523,1.060665785740293,2.2655010662011787,0.9649150833430776,0.04156784602445155,1.0646430473242217,0.9415981106481326,574
54,0.38,0.26,3.6,0.035,0.97228,3.18,0.47,13.6,2,1.27,M,Desc,2.0,6.666666666666667,0.13964557141018252,0.1514161603754527,10.046394375144779,19.629173032280775,9.088291149428754,9.268136344946054,1.2268947247526532,1.7436844936357407,1.100889222004193,1.9583912592311217,1.3645593560288818,0.033673625254750754,0.6949179556325364,0.27384913698228397,770
55,1.25,1.3,35.15,0.031,0.99296,3.92,-1.05,5.3,2,3.95,MM,**,1.0,0.0,0.4123303466863292,0.806488453434195,18.527564356015972,66.73501296329634,15.623422143490204,9.190904743674523,1.324762521198648,2.038190846595492,0.3139043301274251,1.222578654946962,1.3645593560288818,4.015838675971423,1.1945048792965292,7.80877139571689,353
56,2.01,1.18,-38.7,-0.286,1.00364,2.53,0.74,17.4,4,1.0,B,Desc,1.0,0.0,0.16720992291828596,0.4622725907103493,28.043921351186437,57.94719174325176,3.0874640170709324,4.097836609368093,1.3678293854567307,1.4360048040205586,1.1932596076436763,2.215151303450912,1.9297524380738358,1e-08,0.7604789690503313,2.5633097464779957,690
57,0.52,0.36,1.5,1.027,0.98976,4.31,1.29,18.3,1,1.04,R,***,1.0,6.666666666666667,0.15571059630624873,0.7665461360858157,11.237311745132136,22.080206604480747,8.715763310330795,38.39866311923203,1.3110027038809833,2.1774336767973006,1.3585478441470202,2.271716323384365,0.9649150833430776,0.0007437033786356822,0.7338405609335397,7.054013728256464,878
58,0.25,0.28,7.7,0.871,1.045,1.85,0.4,9.4,2,3.49,R,***,3.0,6.666666666666667,0.3665225515470849,0.4886810342634097,9.00025669986789,20.096583377782547,9.838074819022166,32.50071967909791,1.504888749795647,1.0191322199726653,1.0754803623705662,1.6281576887378693,1.3645593560288818,2.8611388041587165,1.1261761623846673,2.8648645629571785,465
59,-0.93,0.53,-97.8,-0.024,1.00314,2.94,0.35,9.4,2,1.62,M,Desc,3.0,6.666666666666667,0.13607504225776623,0.7471214807551247,2.134350659649656,26.96963399965941,1e-08,8.161738047418703,1.365902318445276,1.6368285248250318,1.056927593302045,1.6281576887378693,1.3645593560288818,0.17745101111516515,0.6859673109125574,6.70082279889232,241
60,0.24,1.27,10.3,0.18,0.96793,3.19,-0.66,8.1,4,3.49,R,Desc,3.0,13.333333333333334,0.24027141388307238,0.11514143342639571,8.922166332698326,64.42039899508917,10.328944019503373,12.285947924205528,1.2030239322642529,1.7479950742918102,0.5816878674395807,1.5113893643784633,1.9297524380738358,2.8611388041587165,0.9117232835896063,0.15804028052666375,683
61,2.73,1.59,4.9,0.028,0.9922,3.68,0.49,16.8,1,1.99,M,****,1.0,0.0,0.9871289799100703,0.3495013216490729,38.87227835563933,93.87436762384453,9.322810228741332,9.133193099499236,1.3215333397426032,1.947561021760502,1.1080318728082041,2.1766247860728023,0.9649150833430776,0.4523644033192489,1.848398246313646,1.4642453330188283,708
62,-0.74,0.15,1.1,0.414,0.97401,2.77,0.4,11.4,1,2.88,R,**,2.0,0.0,0.5603966983445026,0.47088334936651177,2.91987120671859,17.246094481452428,8.645689474541511,18.05161750716606,1.2360125375220725,1.5567073555536899,1.0754803623705662,1.793013362705992,0.9649150833430776,1.6310699752120132,1.3926202929005533,2.6597928969891638,720
63,0.38,1.51,73.7,-0.271,1.01893,4.02,1.98,12.1,3,1.92,R,***,3.0,0.0,0.6906631639611268,0.34856888724062374,10.046394375144779,85.44096030362157,25.996973614333207,4.2930898477655575,1.4231830136915251,2.074785191573495,1.5334509699980365,1.8472403010026475,1.6712221139600012,0.39066410963580156,1.546067340290434,1.45643222164544,678
64,0.63,0.32,6.4,0.034,0.9924,3.23,-0.25,11.8,3,4.54,R,Desc,1.0,0.0,0.38954850373522865,0.5174334830120806,12.219817140616463,21.065059055830158,9.597121327373069,9.24879815080269,1.3223854196577776,1.7651321325496394,0.8024078012149929,1.8241975799598713,1.6712221139600012,5.782711503922515,1.1610253375114732,3.212248882773527,766
65,0.13,1.27,-15.1,0.04,0.9955,4.23,0.41,9.0,3,1.91,M,**,2.0,0.0,0.16578859445218563,0.4529645555813492,8.085628904127518,64.42039899508917,6.045383488473484,9.36513025391767,1.335386896231205,2.1496064955310774,1.0791499663020672,1.5931407870954277,1.6712221139600012,0.38221891156350357,0.7572371913750813,2.4610184194036173,382
66,0.34,-0.95,-21.0,0.028,0.98958,3.2,1.77,13.2,3,4.52,M,Desc,1.0,0.0,0.6082547080158798,0.6858211464116654,9.71838132959468,4.726920929083314,5.213603389812015,9.133193099499236,1.3102157350719503,1.752295051111865,1.4833820253192767,1.9293772135960496,1.6712221139600012,5.7175574130007645,1.45088162879956,5.645702529974645,500
67,0.53,0.38,-40.3,-0.006,0.99062,2.88,0.6,18.3,4,2.54,B,***,1.0,6.666666666666667,0.4218058502233567,0.23324814189935228,11.324929159093257,22.605981020997355,2.922563849003928,8.491831009664006,1.3147432426085062,1.6090060973360791,1.1464297618069148,2.271716323384365,1.9297524380738358,1.0944939157392672,1.2081566515535735,0.6512723821170813,912
68,1.21,0.34,7.8,-0.399,0.97462,3.21,-0.75,17.5,3,1.19,M,*,2.0,0.0,0.4182132132942332,0.5036068064936069,18.081143728913652,21.566660754236345,9.856733441693953,2.7729855106889993,1.2391798937863447,1.7565845019679054,0.5259490886218586,2.2215074319372814,1.6712221139600012,0.016682795433307814,1.2029988165255168,3.042715727249974,523
69,-0.72,0.15,23.2,0.012,0.99609,2.95,0.44,13.7,3,5.53,R,****,3.0,13.333333333333334,0.6171132546411693,0.5818889668812031,3.009702865187936,17.246094481452428,12.941135814567732,8.828467438213028,1.3378188158018045,1.6414197470737313,1.0900786673947154,1.9655778532546502,1.6712221139600012,9.469204859306977,1.461411105311485,4.063206169267056,756
70,0.19,0.29,-51.1,0.042,0.99304,3.99,-0.75,10.3,2,1.88,B,***,3.0,0.0,0.7806545209334852,0.057861330109531206,8.536818271917417,20.334445877429346,1.9278526184124776,9.40406918869189,1.3251010644223085,2.0638750184942305,0.5259490886218586,1.7043172287303043,1.3645593560288818,0.35743701174175874,1.6437274892361415,0.03958299588041741,572
71,1.53,0.32,1.1,0.115,0.99096,2.25,-0.81,8.9,2,2.25,R,Desc,2.0,0.0,0.6933926988629954,0.9790181597944424,21.80494149439717,21.065059055830158,8.645689474541511,10.880626539452292,1.3162132937970374,1.2808891981332646,0.4869854684070113,1.584265632567575,1.3645593560288818,0.721126071968063,1.549120018596549,11.509545770584175,719
72,0.16,0.32,-44.9,0.04,1.0458,3.27,0.96,10.0,3,2.43,M,**,2.0,0.0,0.6642632188775023,0.04195863473673722,8.309692455502395,21.065059055830158,2.4736832064483183,9.36513025391767,1.5071938181656261,1.7821044051822676,1.262686080205321,1.6793145319534526,1.6712221139600012,0.9437356726509212,1.5162248037202675,0.020684390612576008,333
73,-0.56,0.42,2.3,-0.139,0.9972,4.15,-0.65,10.9,3,2.11,M,**,1.0,0.0,0.5420577463982675,0.5065891683146458,3.7773523735850025,23.695387234266697,8.856759475843848,6.207258808869079,1.3423585021410047,2.1214143287928895,0.5876935567966651,1.753253277190933,1.6712221139600012,0.5686565288558465,1.3696382026352498,3.078894645944263,472
74,-2.05,-0.24,1.5,-0.415,0.99238,4.05,-0.01,14.5,2,1.77,M,Desc,1.0,0.0,0.9031775997683319,0.5550130745473083,1e-08,10.899243527166563,8.715763310330795,2.606238126523213,1.3223002857657236,2.08563829327637,0.9121020613346432,2.0221513496728085,1.3645593560288818,0.2736757904664399,1.7680408198144844,3.696244115207231,332
75,0.91,-2.16,88.1,0.036,1.04541,3.47,-0.66,9.1,2,2.33,M,Desc,2.0,0.0,0.6863047913512219,0.5835069351916939,14.906517377921043,1.1382945900502708,30.545835218300574,9.28749473497307,1.5060714194543572,1.8646499508015109,0.5816878674395807,1.601966772589038,1.3645593560288818,0.8163723763038956,1.5411804543919143,4.085851966047512,308
