,month,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,yr_built,lat,long,bedrooms_cont,log_sqft_lot,prop_missings,year,floors,waterfront,view,condition,basement,yr_renovated,bedrooms_cat,price,Luxury
10,11.0,4.0,2.0,2100.0,14595.024668572303,1720.0,1924.0,47.5299,-122.266,4.0,9.312182711559245,10.526315789473683,2014,1.5,0,0,A,1,0,4,445000,0
11,7.0,2.0,1.0,550.0,4946.367704744132,550.0,1952.0,47.511,-122.348,2.0,8.474479861442177,10.526315789473683,2014,1.0,0,0,B,0,0,2,115000,0
12,12.0,4.0,3.0,2660.0,16729.395915489164,1930.0,1968.0,47.616,-122.218,4.0,9.09816133498964,10.526315789473683,2014,1.0,0,1,B,1,1,4,1444000,1
13,8.0,4.0,1.5,1370.0,9435.032945923444,1070.0,1953.0,47.4718,-122.323,4.0,8.817960713026139,10.526315789473683,2014,1.0,0,0,B,1,0,4,296000,0
14,7.0,3.0,2.5,1530.0,12399.819088695545,1530.0,1994.0,47.5691,-122.007,3.0,8.923344588968092,10.526315789473683,2014,2.0,0,0,B,0,0,3,449950,0
15,9.0,3.0,1.0,1240.0,10208.238024203838,1240.0,1972.0,47.4579,-122.09,3.0,9.113081788345,10.526315789473683,2014,1.0,0,0,CD,0,0,3,270000,0
16,8.0,29.0,1.5,1360.0,9633.82011613196,1120.0,2003.0,47.6526,-122.384,28.81655941869442,8.31570956248359,15.789473684210526,2014,2.0,0,0,B,1,0,>6,396500,0
17,12.0,3.0,1.0,1010.0,8441.856699545131,1010.0,1974.0,47.3437,-122.078,3.0,9.110333349385485,10.526315789473683,2014,1.0,0,0,A,0,0,3,270000,0
18,10.0,5.0,2.5,2500.0,15965.48058204976,1850.0,1979.0,47.7564,-122.144,5.0,9.037238790328331,10.526315789473683,2014,1.0,0,0,B,1,0,5,467000,0
19,10.0,3.0,2.5,1500.0,12172.61661688135,1500.0,1992.0,47.3719,-122.091,3.0,8.950455016706286,10.526315789473683,2014,2.0,0,0,CD,0,0,3,240000,0
20,11.0,3.0,0.0,2180.0,17398.643667161155,2180.0,1984.0,47.6215,-122.031,3.0,9.559433154809057,10.526315789473683,2014,2.0,0,0,B,0,0,3,570000,1
21,5.0,3.0,2.0,1850.0,11701.283725208286,1320.0,1979.0,47.2975,-122.37,3.0,8.824368814240017,10.526315789473683,2014,1.0,0,0,B,1,0,3,218000,0
22,7.0,3.0,2.5,2200.0,17550.137413498946,2200.0,1985.0,47.3139,-122.116,3.0,9.317630961966955,10.526315789473683,2014,2.0,0,0,B,0,0,3,424000,0
23,7.0,3.0,1.5,1370.0,11229.079266333016,1370.0,1955.0,47.6217,-122.198,3.0,8.90775379100279,10.526315789473683,2014,1.0,0,0,B,0,0,3,815000,1
24,7.0,3.0,1.0,1640.0,12511.735449129586,1500.0,1920.0,47.6169,-122.212,3.0,9.329699905483892,15.789473684210526,2014,1.5,0,0,A,1,0,3,1014250,1
25,9.0,4.0,2.0,2560.0,13100.470012473625,1350.0,1960.0,47.3326,-122.323,4.0,9.262999464052825,10.526315789473683,2014,1.0,0,0,CD,1,0,4,255000,0
26,6.0,4.0,2.5,3030.0,23887.36811065935,3030.0,2003.0,47.6675,-122.176,4.0,9.187402666028476,10.526315789473683,2014,2.0,0,0,B,0,0,4,902000,1
27,11.0,2.0,1.0,1120.0,7134.379895843832,750.0,1929.0,47.5421,-122.378,2.0,8.781823431585167,10.526315789473683,2014,1.0,0,1,B,1,0,2,320000,0
28,8.0,4.0,3.0,2840.0,17382.31114230262,1990.0,1974.0,47.7153,-122.257,4.0,8.980541583206673,10.526315789473683,2014,1.0,0,1,CD,1,0,4,760000,1
29,11.0,3.0,1.5,1010.0,8485.898417956496,1010.0,1943.0,47.4925,-122.278,3.0,8.806397149931797,10.526315789473683,2014,1.0,0,0,B,0,0,3,194000,0
30,10.0,3.0,2.0,1400.0,11464.62279607624,1400.0,1951.0,47.6272,-122.209,3.0,8.857603732402595,10.526315789473683,2014,1.0,0,0,B,0,0,3,850000,1
31,12.0,4.0,2.5,3060.0,24114.837721662574,3060.0,2005.0,47.5521,-121.989,4.0,9.586881738673782,10.526315789473683,2014,2.0,0,0,B,0,0,4,753000,1
32,9.0,3.0,2.0,2460.0,19586.562410374136,2460.0,1955.0,47.3811,-122.325,3.0,9.319425573238789,10.526315789473683,2014,1.0,1,1,B,0,0,3,357000,0
33,7.0,3.0,1.0,1300.0,10687.593844270204,1300.0,1959.0,47.524,-121.821,3.0,9.607107327847928,10.526315789473683,2014,1.0,0,0,CD,0,0,3,281000,0
34,12.0,3.0,2.5,1860.0,14930.982616572333,1860.0,1993.0,47.6775,-122.165,3.0,8.739319733445456,10.526315789473683,2014,2.0,0,0,B,0,0,3,625000,1
35,8.0,2.0,1.0,870.0,7404.235629412258,870.0,1949.0,47.5186,-122.375,2.0,8.58983907791091,10.526315789473683,2014,1.0,0,0,B,0,0,2,235000,0
36,7.0,4.0,2.5,3080.0,24263.59802251056,3080.0,2008.0,47.7066,-122.112,4.0,9.247987416621271,10.526315789473683,2014,2.5,0,0,B,0,0,4,750000,1
37,7.0,4.0,2.0,2220.0,11267.789348902717,1140.0,1963.0,47.492,-122.166,4.0,9.224028039134652,10.526315789473683,2014,1.0,0,0,A,1,0,4,374000,0
38,12.0,3.0,2.5,1770.0,11750.472946037478,1350.0,1976.0,47.7358,-122.17,3.0,8.719593405792153,10.526315789473683,2014,1.0,0,0,CD,1,0,3,436000,0
39,8.0,3.0,1.0,940.0,7950.6076276250205,940.0,1942.0,47.5117,-122.378,3.0,8.673545423958956,10.526315789473683,2014,1.0,0,0,CD,0,0,3,267000,0
40,6.0,3.0,2.5,2270.0,18067.242345848426,2270.0,1998.0,47.4815,-122.47,3.0,8.552939787314614,10.526315789473683,2014,2.0,0,0,B,0,0,3,585000,1
41,12.0,2.0,1.0,710.0,6187.404115224453,710.0,1942.0,47.5122,-122.374,2.0,8.575200462773182,10.526315789473683,2014,1.0,0,0,A,0,0,2,285950,0
42,6.0,29.0,3.0,3190.0,17304.14920424956,1890.0,2013.0,47.509,-122.24,28.817420156072338,9.106220631431114,15.789473684210526,2014,1.0,0,1,B,1,0,>6,664950,1
43,7.0,4.0,3.0,2180.0,17420.655681840813,2180.0,1968.0,47.5338,-122.033,4.0,9.312432189443655,10.526315789473683,2014,2.0,0,0,CD,0,0,4,499900,0
44,8.0,3.0,2.0,2100.0,16747.442065205592,2100.0,2010.0,47.6907,-121.917,3.0,9.188633383242035,10.526315789473683,2014,1.0,0,0,B,0,0,3,399000,0
45,6.0,3.0,1.0,1320.0,10828.89706014103,1320.0,1967.0,47.2787,-122.205,3.0,9.141172898520807,10.526315789473683,2014,1.0,0,0,CD,0,0,3,206000,0
46,8.0,5.0,2.5,2990.0,23562.40673544391,2990.0,2015.0,47.7384,-122.348,5.0,8.758033051276072,10.526315789473683,2014,2.0,0,0,B,0,0,5,357000,0
47,10.0,3.0,1.5,1050.0,7285.182774922836,800.0,1950.0,47.6578,-122.39,3.0,8.437583293008089,10.526315789473683,2014,1.0,0,0,CD,1,0,3,420000,0
48,5.0,4.0,2.0,1640.0,13367.644378939322,1640.0,1907.0,47.6662,-122.365,4.0,8.982032881392684,10.526315789473683,2014,2.0,0,0,B,0,1,4,492000,0
49,8.0,3.0,2.5,1840.0,14776.430185307616,1840.0,1994.0,47.267,-122.312,3.0,8.8172712719863,10.526315789473683,2014,2.0,0,0,B,0,0,3,297000,0
50,9.0,3.0,2.0,1720.0,8833.516441572421,860.0,1906.0,47.6782,-122.314,3.0,9.038769159529608,15.789473684210526,2014,1.0,0,0,A,1,0,3,575000,1
51,5.0,2.0,2.5,2220.0,17681.69779330874,2220.0,2000.0,47.6364,-122.28,2.0,8.692759943863194,10.526315789473683,2014,2.0,0,0,B,0,0,2,1425000,1
52,9.0,2.0,2.0,1300.0,6823.475498520656,650.0,1939.0,47.4989,-122.329,2.0,8.739431758698629,10.526315789473683,2014,1.0,0,0,B,1,0,2,244500,0
53,9.0,4.0,2.5,2095.0,12061.61696129761,1295.0,1910.0,47.5838,-122.39,4.0,9.049729835196047,10.526315789473683,2014,1.5,0,0,A,1,0,4,711000,1
54,10.0,4.0,2.5,3140.0,24768.521368686088,3140.0,1977.0,47.3863,-122.156,4.0,9.677504838737121,10.526315789473683,2014,2.0,0,0,CD,0,0,4,400000,0
55,10.0,2.0,2.5,1140.0,8623.400337752944,1010.0,1999.0,47.659,-122.346,2.0,8.080371503784647,10.526315789473683,2014,2.0,0,0,B,1,0,2,399950,0
56,10.0,5.0,2.5,2710.0,16706.459588176764,1910.0,1959.0,47.5958,-122.175,5.0,9.334256766550567,10.526315789473683,2014,1.0,0,0,A,1,0,5,830000,1
57,9.0,3.0,2.0,2660.0,16873.450967288685,1940.0,1910.0,47.5829,-122.382,3.0,9.392025409904363,10.526315789473683,2014,1.5,0,1,B,1,0,3,727500,1
58,5.0,4.0,2.5,2560.0,20299.97144890701,2560.0,1992.0,47.5717,-121.991,4.0,9.426294398475193,10.526315789473683,2014,2.0,0,0,B,0,0,4,642000,1
59,9.0,4.0,2.5,2500.0,19826.309504542536,2500.0,2001.0,47.6922,-122.174,4.0,8.94792912947861,10.526315789473683,2014,2.0,0,0,B,0,0,4,650000,1
60,10.0,4.0,2.5,2540.0,20121.55680046202,2540.0,2009.0,47.7073,-122.112,4.0,8.99987829345946,10.526315789473683,2014,2.0,0,0,B,0,0,4,717000,1
61,12.0,3.0,2.0,1320.0,10797.682571476935,1320.0,1988.0,47.4838,-122.33,3.0,8.492678372590689,10.526315789473683,2014,1.0,0,0,B,0,0,3,292000,0
62,5.0,3.0,1.0,1010.0,8443.964848983658,1010.0,1973.0,47.5324,-121.763,3.0,9.4666324777275,10.526315789473683,2014,1.0,0,0,CD,0,0,3,310000,0
63,11.0,5.0,3.5,2400.0,15451.464894575607,1780.0,1928.0,47.6094,-122.291,5.0,9.08375569755222,10.526315789473683,2014,2.0,0,0,CD,1,0,5,700000,1
64,6.0,4.0,3.0,2240.0,17845.37329805614,2240.0,1992.0,47.7348,-122.295,4.0,8.589560599325694,10.526315789473683,2014,2.0,0,0,B,0,0,4,337000,0
65,6.0,5.0,2.0,1940.0,15595.172103024708,1940.0,1957.0,47.7751,-122.38,5.0,8.668482065014103,10.526315789473683,2014,1.5,0,0,B,0,0,5,465250,0
66,11.0,4.0,2.0,2550.0,16285.248646637921,1890.0,1982.0,47.7707,-122.123,4.0,9.128331820980549,10.526315789473683,2014,1.0,0,0,B,1,0,4,550000,1
67,12.0,4.0,4.0,5780.0,35085.41946425095,4130.0,2008.0,47.6374,-122.288,4.0,9.870819416909313,10.526315789473683,2014,2.0,0,0,B,1,0,4,2890000,1
68,9.0,3.0,2.0,2100.0,10715.435898001397,1080.0,1957.0,47.7622,-122.302,3.0,8.775284775441094,10.526315789473683,2014,1.0,0,0,CD,1,0,3,440000,0
69,9.0,3.0,2.5,2630.0,20831.10337022758,2630.0,1996.0,47.5515,-122.083,3.0,9.297702139335229,10.526315789473683,2014,2.0,0,0,B,0,0,3,665000,1
70,7.0,3.0,2.5,1852.0,14839.752192968395,1852.0,2014.0,47.3455,-122.21,3.0,8.78647998365011,10.526315789473683,2014,2.0,0,0,B,0,0,3,298000,0
71,11.0,3.0,1.0,1240.0,10281.861919298424,1240.0,1921.0,47.4303,-122.046,3.0,9.555013804390455,10.526315789473683,2014,1.0,0,0,B,0,1,3,234000,0
72,9.0,3.0,3.0,2770.0,15186.852844393312,1640.0,1962.0,47.7011,-122.206,3.0,9.095074332033079,10.526315789473683,2014,1.0,0,1,A,1,0,3,678000,1
73,7.0,3.0,1.0,1320.0,10906.25099341742,1320.0,1913.0,47.5288,-122.325,3.0,9.112686511984748,10.526315789473683,2014,1.5,0,0,B,0,0,3,279000,0
74,11.0,4.0,2.0,1940.0,15571.452540477454,1940.0,1974.0,47.3215,-122.369,4.0,8.938953243215764,10.526315789473683,2014,1.0,0,0,CD,0,0,4,252000,0
75,8.0,4.0,4.0,3610.0,26430.533783485072,3290.0,1994.0,47.6992,-122.385,4.0,8.90568561299861,10.526315789473683,2014,3.0,0,0,B,1,0,4,830005,1
76,11.0,4.0,3.5,4740.0,37017.5288472961,4740.0,1990.0,47.6624,-122.071,4.0,10.080417299390746,10.526315789473683,2014,2.0,0,0,B,0,0,4,1150000,1
77,6.0,3.0,2.0,1540.0,7933.398346169225,770.0,1947.0,47.5763,-122.222,3.0,8.892906982422488,10.526315789473683,2014,1.0,0,0,A,1,0,3,500000,0
78,8.0,2.0,2.0,1540.0,9068.114738529426,960.0,1949.0,47.6932,-122.395,2.0,8.520855035417043,10.526315789473683,2014,1.0,0,0,B,1,0,2,495000,0
79,6.0,4.0,3.5,3450.0,21061.775784605044,2430.0,1960.0,47.4556,-122.372,4.0,9.287614338815871,10.526315789473683,2014,2.0,0,1,CD,1,1,4,1035000,1
80,7.0,3.0,2.5,2010.0,16063.112507121417,2010.0,2006.0,47.3338,-122.052,3.0,9.176252424514871,10.526315789473683,2014,2.0,0,0,B,0,0,3,282000,0
81,9.0,3.0,2.5,2120.0,16909.055178448318,2120.0,2004.0,47.681,-122.032,3.0,8.990836436240386,10.526315789473683,2014,2.0,0,0,B,0,0,3,575000,1
82,9.0,3.0,1.5,1580.0,12836.642714735752,1580.0,1957.0,47.2903,-122.214,3.0,9.233579122211381,10.526315789473683,2014,1.0,0,0,CD,0,0,3,233500,0
83,9.0,3.0,2.5,2340.0,18604.092725577473,2340.0,1998.0,47.6059,-122.307,3.0,8.748278471045126,10.526315789473683,2014,2.0,0,0,B,0,0,3,618000,1
84,10.0,5.0,3.5,3830.0,30005.050130727825,3830.0,2014.0,47.6843,-122.016,5.0,9.58172411945668,10.526315789473683,2014,2.0,0,0,B,0,0,5,955990,1
85,11.0,3.0,2.0,1410.0,11495.108771516032,1410.0,1983.0,47.7587,-122.144,3.0,8.642939945501354,10.526315789473683,2014,1.0,0,0,CD,0,0,3,375000,0
86,10.0,2.0,2.0,1470.0,11924.600481204574,1470.0,2005.0,47.3502,-122.02,2.0,9.04759964349472,10.526315789473683,2014,2.0,0,0,B,0,0,2,249900,0
87,5.0,3.0,3.0,2090.0,16667.5556129046,2090.0,2012.0,47.7336,-121.965,3.0,8.914482001359687,10.526315789473683,2014,2.0,0,0,B,0,0,3,403000,0
88,6.0,2.0,1.0,1220.0,8324.645403331659,920.0,1926.0,47.6823,-122.365,2.0,8.757232289889544,10.526315789473683,2014,1.0,0,0,B,1,0,2,499000,0
89,10.0,3.0,2.5,2810.0,22199.17502212277,2810.0,2004.0,47.7735,-122.227,3.0,8.91232687574717,10.526315789473683,2014,2.0,0,0,B,0,0,3,533000,1
90,9.0,2.0,2.0,2870.0,16088.470429029281,1770.0,1994.0,47.4847,-122.0,2.0,9.570913153423078,10.526315789473683,2014,2.0,0,1,CD,1,0,2,570000,1
91,9.0,4.0,2.5,1720.0,12349.927391359235,1470.0,2000.0,47.591,-122.293,4.0,8.470768124540655,10.526315789473683,2014,2.0,0,1,B,1,0,4,536500,1
92,8.0,4.0,2.5,2790.0,22103.38104376944,2790.0,1964.0,47.5477,-122.215,4.0,9.380822496659391,10.526315789473683,2014,2.0,0,0,CD,0,0,4,950000,1
93,8.0,3.0,1.0,1050.0,8107.305272102346,930.0,1920.0,47.5402,-122.38,3.0,8.858392101116124,15.789473684210526,2014,1.0,0,0,B,1,0,3,435000,0
94,5.0,5.0,2.5,2820.0,22311.76422018562,2820.0,1979.0,47.5794,-122.025,5.0,9.574450694996443,10.526315789473683,2014,2.0,0,0,B,0,0,5,675000,1
95,5.0,3.0,1.5,1660.0,13521.637616541115,1660.0,1907.0,47.6352,-122.358,3.0,9.094519760742287,10.526315789473683,2014,2.0,0,0,B,0,0,3,926300,1
96,6.0,3.0,2.5,1210.0,9925.17999858173,1210.0,2008.0,47.6977,-122.349,3.0,8.0274745670674,10.526315789473683,2014,3.0,0,0,B,0,0,3,345000,0
97,10.0,4.0,2.5,2550.0,20214.776509930853,2550.0,1998.0,47.5373,-121.87,4.0,9.607593745808373,10.526315789473683,2014,2.0,0,0,B,0,0,4,543500,1
98,6.0,2.0,2.0,1460.0,11998.763570911864,1460.0,1900.0,47.6857,-122.208,2.0,9.179106278434688,10.526315789473683,2014,1.0,0,1,A,0,0,2,1010000,1
99,8.0,3.0,3.0,3040.0,23987.239509822204,3040.0,1987.0,47.7108,-122.225,3.0,9.113420061781568,10.526315789473683,2014,2.0,0,0,CD,0,0,3,825000,1
100,11.0,3.0,2.0,1080.0,6012.302478953293,580.0,1954.0,47.6601,-122.4,3.0,8.312244057832345,10.526315789473683,2014,1.0,0,0,B,1,1,3,331000,0
101,5.0,2.0,1.0,1050.0,8793.53503027794,1050.0,1943.0,47.3226,-122.287,2.0,9.010669719590624,10.526315789473683,2014,1.0,0,0,CD,0,0,2,415000,0
102,7.0,4.0,2.5,2080.0,16610.64264072033,2080.0,1998.0,47.4909,-122.157,4.0,8.992324524391677,15.789473684210526,2014,2.0,0,0,B,0,0,4,300000,0
103,6.0,4.0,2.0,1880.0,10424.11766133652,1090.0,1944.0,47.6635,-122.362,4.0,8.771582518915807,10.526315789473683,2014,1.5,0,0,CD,1,0,4,560000,1
104,7.0,4.0,2.5,2640.0,15725.6409257518,1770.0,1977.0,47.4688,-122.009,4.0,9.538578539483808,10.526315789473683,2014,1.0,0,0,B,1,0,4,518000,1
105,5.0,4.0,2.5,1700.0,13711.400186621626,1700.0,1988.0,47.4045,-122.171,4.0,8.912376404264108,10.526315789473683,2014,2.0,0,0,CD,0,0,4,290000,0
106,5.0,3.0,1.5,1540.0,12552.510439619242,1540.0,1941.0,47.5678,-122.378,3.0,8.831662324053468,10.526315789473683,2014,2.0,0,0,B,0,1,3,525000,1
107,10.0,3.0,2.0,1230.0,10110.67769514152,1230.0,1986.0,47.2881,-122.363,3.0,8.57022398297974,10.526315789473683,2014,1.0,0,0,B,0,0,3,220000,0
108,8.0,3.0,2.5,1400.0,11377.098555019624,1400.0,2012.0,47.3596,-122.082,3.0,8.792422304022978,10.526315789473683,2014,2.0,0,0,B,0,0,3,270000,0
109,11.0,4.0,4.0,5050.0,28662.21522637037,3260.0,2000.0,47.5269,-121.922,4.0,10.262954258657203,10.526315789473683,2014,2.0,0,0,B,1,0,4,1335000,1
110,6.0,3.0,0.0,1720.0,9561.491471719217,1000.0,1983.0,47.3186,-122.391,3.0,8.953769366422648,10.526315789473683,2014,1.0,0,0,B,1,0,3,275000,0
111,9.0,6.0,2.5,3760.0,21152.268257897158,2360.0,1967.0,47.6976,-122.381,6.0,9.283856748353344,10.526315789473683,2014,1.0,0,0,B,1,0,6,838300,1
112,11.0,3.0,3.0,3730.0,20292.471672189487,2230.0,1990.0,47.4257,-122.03,3.0,9.810521723781136,10.526315789473683,2014,1.5,0,0,CD,1,0,3,649500,1
113,7.0,3.0,2.0,1400.0,11428.9649502742,1400.0,1976.0,47.479,-122.132,3.0,8.92989086828294,10.526315789473683,2014,1.0,0,0,CD,0,0,3,305000,0
114,9.0,4.0,1.0,1570.0,12812.443018592392,1570.0,1920.0,47.6275,-122.321,4.0,9.108960491983737,10.526315789473683,2014,1.5,0,0,B,0,0,4,525000,1
115,6.0,3.0,2.5,2280.0,18125.948713241523,2280.0,2011.0,47.7322,-121.966,3.0,9.077806390490025,10.526315789473683,2014,2.0,0,0,B,0,0,3,415000,0
116,6.0,4.0,2.5,3210.0,25279.375136973154,3210.0,1995.0,47.6073,-122.062,4.0,9.555546854919129,10.526315789473683,2014,2.0,0,0,B,0,0,4,770000,1
117,7.0,3.0,2.5,2390.0,18999.627556790623,2390.0,1990.0,47.6271,-122.028,3.0,9.25638997193704,10.526315789473683,2014,2.0,0,0,CD,0,0,3,640000,1
118,12.0,3.0,2.0,1570.0,12696.455635406726,1570.0,2001.0,47.6965,-121.922,3.0,9.001596306845045,10.526315789473683,2014,1.0,0,0,B,0,0,3,340000,0
119,8.0,4.0,2.5,2460.0,14182.13526560253,1560.0,1965.0,47.7133,-122.361,4.0,8.770935736504356,10.526315789473683,2014,1.0,0,0,CD,1,0,4,640000,1
120,6.0,3.0,2.0,1320.0,10817.029464627023,1320.0,1975.0,47.3947,-122.174,3.0,8.90079427374451,10.526315789473683,2014,1.0,0,0,A,0,0,3,251750,0
121,6.0,3.0,3.0,2340.0,13612.339517759237,1500.0,1972.0,47.5952,-122.051,3.0,9.194708637980568,10.526315789473683,2014,1.0,0,0,CD,1,0,3,563000,1
122,9.0,1.0,1.0,1090.0,9127.795679146286,1090.0,1924.0,47.54,-122.269,1.0,9.009375451676846,10.526315789473683,2014,1.0,0,0,CD,0,0,<2,463500,0
123,5.0,4.0,2.0,1520.0,12361.268760280824,1520.0,1967.0,47.7357,-122.193,4.0,8.740509846707965,10.526315789473683,2014,1.0,0,0,A,0,0,4,425000,0
124,10.0,4.0,4.0,3320.0,26094.60386377838,3320.0,2014.0,47.5963,-122.2,4.0,9.05256661583374,10.526315789473683,2014,2.0,0,0,B,0,0,4,1699990,1
125,8.0,3.0,2.5,2180.0,14310.029694632136,1660.0,1966.0,47.5358,-122.235,3.0,9.01754333836243,10.526315789473683,2014,1.0,0,0,CD,1,0,3,910000,1
126,5.0,3.0,2.5,1700.0,13690.70944638758,1700.0,2003.0,47.5327,-121.871,3.0,9.185975945173084,10.526315789473683,2014,2.0,0,0,B,0,0,3,384000,0
127,9.0,3.0,2.0,1510.0,12260.630031197654,1510.0,1984.0,47.5931,-122.158,3.0,8.791696592780909,10.526315789473683,2014,1.0,0,0,CD,0,0,3,490000,0
128,5.0,4.0,2.0,2060.0,11141.581924131344,1160.0,1947.0,47.4444,-122.351,4.0,9.016869362461705,10.526315789473683,2014,1.0,0,0,CD,1,0,4,647500,1
129,9.0,3.0,2.5,1320.0,10773.158838015639,1320.0,2005.0,47.5355,-122.283,3.0,8.337762931352472,10.526315789473683,2014,2.0,0,0,B,0,0,3,300000,0
130,9.0,3.0,2.0,1400.0,7334.865032830559,700.0,1908.0,47.6508,-122.368,3.0,8.808172811325335,10.526315789473683,2014,1.0,0,0,CD,1,1,3,460000,0
131,12.0,5.0,4.0,3830.0,30018.03355842006,3830.0,2005.0,47.5837,-121.971,5.0,9.727917168541069,10.526315789473683,2014,2.0,0,0,B,0,0,5,852500,1
132,9.0,4.0,3.5,2910.0,16628.281560212712,1830.0,1914.0,47.616,-122.282,4.0,9.36907190090426,10.526315789473683,2014,2.0,0,1,A,1,0,4,1850000,1
133,7.0,4.0,2.5,2420.0,12029.523866514099,1210.0,1958.0,47.7397,-122.259,4.0,8.913710016387824,10.526315789473683,2014,1.0,0,0,A,1,0,4,485000,0
134,6.0,4.0,3.0,2420.0,19207.712064873493,2420.0,2005.0,47.3772,-122.029,4.0,9.301555018025311,10.526315789473683,2014,2.0,0,0,B,0,0,4,376000,0
135,11.0,3.0,2.0,1530.0,10312.39410001857,1180.0,1988.0,47.7422,-122.097,3.0,8.719148352465027,10.526315789473683,2014,1.0,0,0,B,1,0,3,410000,0
136,8.0,4.0,2.5,2220.0,17679.6702837153,2220.0,2001.0,47.4887,-122.15,4.0,9.0253610019098,10.526315789473683,2014,2.0,0,0,B,0,0,4,291375,0
137,5.0,3.0,1.5,1770.0,10638.080479335364,1160.0,1959.0,47.5659,-122.117,3.0,9.177576878539185,10.526315789473683,2014,1.0,0,0,B,1,0,3,450000,0
138,10.0,4.0,2.5,1850.0,13340.127797502051,1600.0,2005.0,47.5529,-121.996,4.0,9.005749793096214,10.526315789473683,2014,2.0,0,0,B,1,0,4,476100,0
139,12.0,5.0,2.0,3920.0,22701.6228586339,2560.0,1910.0,47.5798,-122.294,5.0,10.05272220874349,10.526315789473683,2014,1.5,0,0,A,1,0,5,760000,1
140,10.0,2.0,1.0,720.0,6262.615658677659,720.0,1943.0,47.5535,-122.393,2.0,8.507256873061692,10.526315789473683,2014,1.0,0,0,Desc,0,0,2,310000,0
141,7.0,3.0,0.0,2530.0,15721.482893641836,1800.0,1977.0,47.3913,-122.121,3.0,9.734951217920951,10.526315789473683,2014,1.0,0,0,CD,1,0,3,375000,0
142,8.0,4.0,3.0,2570.0,13496.152556302772,1420.0,1988.0,47.4417,-122.09,4.0,9.227214377462957,10.526315789473683,2014,1.0,0,0,B,1,0,4,390000,0
143,9.0,3.0,2.5,2040.0,16334.297038050245,2040.0,1977.0,47.7584,-122.136,3.0,8.908037082897323,10.526315789473683,2014,2.0,0,0,B,0,0,3,730000,1
144,9.0,3.0,2.5,1490.0,12076.936911537381,1490.0,2005.0,47.4324,-122.197,3.0,8.636680535516746,10.526315789473683,2014,2.0,0,0,B,0,0,3,237000,0
145,9.0,3.0,2.5,1700.0,13699.075092993997,1700.0,1997.0,47.3826,-122.028,3.0,9.098543175962476,10.526315789473683,2014,2.0,0,0,B,0,0,3,335000,0
146,12.0,4.0,2.5,2020.0,11345.119916994316,1200.0,1925.0,47.5576,-122.376,4.0,8.958037504447361,10.526315789473683,2014,1.5,0,0,A,1,0,4,430000,0
147,9.0,4.0,1.5,1790.0,9884.192842540224,1020.0,1923.0,47.6489,-122.337,4.0,9.001057520201982,10.526315789473683,2014,1.0,0,0,CD,1,0,4,560000,1
148,8.0,3.0,2.0,1720.0,8759.96146946893,860.0,1957.0,47.5092,-122.362,3.0,8.727585138966845,10.526315789473683,2014,1.0,0,0,B,1,0,3,340000,0
149,9.0,2.0,1.0,1030.0,8640.919751295372,1030.0,1942.0,47.6875,-122.387,2.0,8.553545910566328,10.526315789473683,2014,1.0,0,0,B,0,0,2,450000,0
150,5.0,3.0,1.0,1220.0,10078.669265875878,1220.0,1955.0,47.7608,-122.353,3.0,8.546703997222124,10.526315789473683,2014,1.0,0,0,CD,0,0,3,300000,0
